,[g],[mm],[g]
Indiv,BM,SVL,muscle mass
Os178,1.613,31.42,0.236
Os254,19.544,73.17,3.06
Os263,6.246,49.6,1.034
Os264,16.293,68.06,3.282
Os266,14.114,60.12,1.868
Os269,4.262,45.19,0.572
Os270,9.376,52.44,1.63
Os271,5.079,48.69,0.782
OS274,28.838,72.75,4.9
Os276,19.326,65.93,2.218
Os277,20.543,73.04,2.936
Os278,6.078,47.05,0.866
Os281,6.965,45.91,1.066
Os283,2.758,37.81,0.402
Os284,2.234,30.94,0.268
Os285,1.832,30.26,0.242
Os286,3.465,38.52,0.476
Os287,1.908,31.51,0.226
Os288,2.621,34.47,0.31
Os289,20.773,73.17,3.494
Os290,16.164,65.06,2.726
Os348,1.571,30.69,0.136
Os349,1.276,31.58,0.094
Os350,2.062,34.76,0.142
Os351,2.285,35.26,0.138
Os353,5.146,47.6,0.464
Os354,1.4,29.99,0.091
Os355,2.388,38.14,0.154
Os356,2.307,36.17,0.172
Os357,1.474,30.86,0.11
Os358,2.491,37.56,0.188
