,[kg],[mm],[C],[m/s],[W/kg body mass]
Name,BodyMass,SVL,Temp,Velocity,Power
Os157,0.001036,28.1,20,2.61,259.5333668
Os166,0.001058,28.4,20,2.5,246.7564015
Os197,0.001063,28.1,20,2.44,203.1518341
Os159,0.001064,28.3,20,2.715,219.4045866
Os199,0.001162,31,20,2.52,198.8002193
Os161,0.001168,28,20,2.38,156.0961819
Os343,0.001215,30.25,30,2.465,204.0495987
Os186,0.001227,29.8,20,2.405,198.8417729
Os328,0.00123,31.58,10,1.995,112.8798161
Os171,0.001261,28.7,20,2.6,267.3411584
Os074,0.001305,30.5,30,2.04,101.185698
Os163,0.001322,30.7,20,2.47,193.5069458
Os156,0.00142,30.3,10,1.96,103.2283895
Os344,0.001424,30.73,30,3.045,338.3659048
Os172,0.001447,32.2,20,2.43,171.0877184
Os168,0.001454,31,20,2.35,154.0665943
Os073,0.001457,31,30,2.58,196.9642052
Os065,0.001485,31.4,30,2.72,248.266225
Os165,0.001538,32.4,20,2.94,341.8795011
Os173,0.001556,31.5,20,2.745,225.8585875
Os339,0.001611,32.85,30,3.07,320.5279784
Os178,0.001613,32,20,2.16,131.7276432
Os336,0.001626,32.41,30,2.565,168.7558169
Os181,0.001635,32.5,20,2.445,183.8597678
Os113,0.001654,30.1,30,2.79,268.4728642
Os044,0.0017,32,30,2.79,226.7679275
Os143,0.001707,33,10,2.015,116.0369466
Os152,0.001731,32.7,10,1.935,93.41273874
Os050,0.001787,32.1,30,2.92,263.5703168
Os326,0.00179,32.39,10,2.205,143.558191
Os164,0.001809,33.5,20,2.8,245.2137831
Os053,0.001829,33.3,30,3.06,316.6519562
Os255,0.001831,33.1,20,2.54,176.9714241
Os142,0.001837,32.3,10,1.855,77.88713359
Os140,0.001869,33.9,10,1.88,104.2561048
Os062,0.001912,32.5,30,2.94,273.9130801
Os223,0.001924,33.3,30,2.685,258.5369375
Os183,0.002014,35.6,20,2.495,165.0120452
Os155,0.002039,36.2,10,1.58,62.29961403
Os169,0.002051,34.6,20,2.685,236.0654045
Os210,0.002055,36.4,20,2.62,166.5285073
Os297,0.002058,36.34,10,2.095,118.5680701
Os228,0.002184,34.4,30,2.54,176.8901141
Os047,0.002197,35.6,30,2.995,334.4207467
Os063,0.002227,36.1,30,2.705,185.4921506
Os193,0.0023,37.8,20,2.67,218.2311495
Os046,0.002315,35.9,30,2.755,228.2300858
Os162,0.002315,36.1,20,2.625,188.4391706
Os153,0.002333,37,10,2.22,122.932804
Os308,0.002339,37.57,10,2.435,167.7208749
Os078,0.002407,36.7,30,2.605,186.6494123
Os054,0.002441,37.3,30,3.28,354.0873932
Os139,0.002447,39,10,1.765,65.66939327
Os295,0.002487,40.31,10,2.095,109.5434612
Os218,0.002532,37.2,30,2.86,243.8522144
Os077,0.002596,36.9,30,3.075,281.8664014
Os090,0.002603,36.4,30,2.87,211.5879351
Os194,0.002625,39.2,20,2.62,240.3986053
Os170,0.002663,38.1,20,2.83,236.3154431
Os045,0.002665,38.1,30,3.045,266.8211854
Os144,0.002694,39.3,10,1.815,93.94126411
Os191,0.002724,38.9,20,2.79,233.4932958
Os239,0.002797,37.1,10,2,94.34105889
Os116,0.002853,38,30,2.91,231.8803386
Os154,0.002872,37.7,10,2.44,157.0228263
Os126,0.002877,38.6,10,2.23,127.9498557
Os246,0.00292,37.9,20,2.34,133.9497136
Os127,0.002922,37.8,10,1.905,74.13451242
Os118,0.002951,37.6,30,3.175,304.3131497
Os214,0.002956,38,30,2.85,241.239345
Os196,0.00298,39.9,20,2.64,213.4186013
Os033,0.003015,39,30,2.8,218.1657361
Os260,0.003036,41.4,20,2.69,187.1124101
Os291,0.003048,41.17,10,2.23,130.0637934
Os052,0.003054,40,30,2.94,229.5407112
Os298,0.003058,41.58,10,2.32,130.8580954
Os321,0.0031,41.43,10,2.23,123.678768
Os068,0.003118,38.4,30,3.42,809.4038337
Os069,0.00312,39.3,30,2.915,250.863741
Os138,0.003146,40.5,10,2.045,91.77055529
Os177,0.003218,42.8,20,2.745,183.9998493
Os229,0.003272,40.7,30,2.5,149.7851703
Os280,0.003313,40.32,20,2.385,140.4702188
Os100,0.003349,41.3,30,2.835,224.1723818
Os185,0.003349,40.1,20,2.74,183.3745306
Os032,0.00338,34.2,30,2.19,142.2354989
Os042,0.00341,40,30,2.805,330.0187639
Os238,0.003447,37.2,10,1.985,107.1551788
Os293,0.003526,42.93,10,2.22,115.566076
Os059,0.003527,41.9,30,2.655,189.2835954
Os226,0.003592,40.6,30,2.655,180.6314713
Os249,0.003602,40.3,20,2.69,174.0836501
Os109,0.003609,42.1,30,3.1,275.5425505
Os049,0.003624,43.5,30,3.37,391.3101026
Os134,0.003639,43.7,10,2.135,106.0736892
Os160,0.003708,42,20,2.755,210.8892544
Os135,0.003758,42.3,10,1.965,96.90626587
Os075,0.00379,42.3,30,3.495,346.7622468
Os064,0.003809,42.8,30,3.035,241.196811
Os111,0.003841,42.6,30,3.42,339.660954
Os094,0.003891,40.5,30,3.255,306.5929601
Os057,0.0039,41.3,30,3.28,295.2057425
Os322,0.003906,43.83,10,2.405,142.6821068
Os115,0.003921,40.8,30,2.885,249.3177424
Os105,0.003985,42,30,3.045,237.5889471
Os324,0.004027,43.25,10,2.14,104.3365738
Os066,0.004046,42.1,30,3.505,326.2288494
Os148,0.004051,44.1,10,2.41,125.9809614
Os114,0.00409,44.4,30,3.15,279.1995394
